Name,EF,year,field
J ECON LIT,0.035,1997,economics
Q J ECON,0.084,1997,economics
J POLIT ECON,0.079,1997,economics
ECONOMETRICA,0.077,1997,economics
BROOKINGS PAP ECO AC,0.027,1997,economics
ECONOMIST,0.024,1997,economics
REV ECON STUD,0.038,1997,economics
J FINANC ECON,0.035,1997,economics
J ECON PERSPECT,0.039,1997,economics
AM ECON REV,0.134,1997,economics
J MONETARY ECON,0.033,1997,economics
J PROD ANAL,0.005,1997,economics
J BUS ECON STAT,0.027,1997,economics
J ECONOMETRICS,0.044,1997,economics
J LABOR ECON,0.014,1997,economics
J HUM RESOUR,0.018,1997,economics
J ECON THEORY,0.035,1997,economics
RAND J ECON,0.015,1997,economics
ECON J,0.033,1997,economics
J ACCOUNT ECON,0.008,1997,economics
GAME ECON BEHAV,0.019,1997,economics
OXFORD B ECON STAT,0.011,1997,economics
J LAW ECON ORGAN,0.008,1997,economics
REV ECON STAT,0.028,1997,economics
J APPL ECONOM,0.01,1997,economics
WORLD BANK ECON REV,0.011,1997,economics
J INT ECON,0.012,1997,economics
EUR ECON REV,0.033,1997,economics
J LAW ECON,0.007,1997,economics
ENERGY J,0.005,1997,economics
J RISK UNCERTAINTY,0.008,1997,economics
J ENVIRON ECON MANAG,0.012,1997,economics
ECONOMET THEOR,0.013,1997,economics
REV BLACK POLIT ECON,0.006,1997,economics
J FINANC QUANT ANAL,0.008,1997,economics
J PUBLIC ECON,0.017,1997,economics
INT ECON REV,0.012,1997,economics
J HEALTH ECON,0.007,1997,economics
ECON SOC,0.005,1997,economics
ECON INQ,0.011,1997,economics
J DEV ECON,0.012,1997,economics
HEALTH ECON,0.004,1997,economics
ECON DEV Q,0.002,1997,economics
INT MONET FUND S PAP,0.006,1997,economics
INT J GAME THEORY,0.005,1997,economics
CHINA ECON REV,0.001,1997,economics
ECONOMICA,0.006,1997,economics
ECON DEV CULT CHANGE,0.006,1997,economics
ECON THEOR,0.004,1997,economics
J COMP ECON,0.006,1997,economics
ECON GEOGR,0.003,1997,economics
J ECON DYN CONTROL,0.009,1997,economics
EXPLOR ECON HIST,0.004,1997,economics
OXFORD ECON PAP,0.007,1997,economics
ECON EDUC REV,0.002,1997,economics
J ECON HIST,0.007,1997,economics
J TRANSP ECON POLICY,0.003,1997,economics
SCAND J ECON,0.007,1997,economics
WORLD BANK RES OBSER,0.001,1997,economics
J MATH ECON,0.006,1997,economics
REG SCI URBAN ECON,0.005,1997,economics
NATL TAX J,0.005,1997,economics
J BANK FINANC,0.009,1997,economics
WORLD DEV,0.018,1997,economics
KYKLOS,0.003,1997,economics
WORLD ECON,0.005,1997,economics
LAND ECON,0.005,1997,economics
OXFORD REV ECON POL,0.003,1997,economics
SOC CHOICE WELFARE,0.003,1997,economics
ECON HIST REV,0.004,1997,economics
J ECON BEHAV ORGAN,0.008,1997,economics
J IND ECON,0.003,1997,economics
WORK EMPLOY SOC,0.003,1997,economics
ECON PHILOS,0.002,1997,economics
POST-SOV AFF,0.002,1997,economics
MANCH SCH,0.001,1997,economics
INT J IND ORGAN,0.003,1997,economics
J URBAN ECON,0.004,1997,economics
J HOUS ECON,0.001,1997,economics
ECOL ECON,0.005,1997,economics
CAMBRIDGE J ECON,0.003,1997,economics
EUROPE-ASIA STUD,0.004,1997,economics
J REGUL ECON,0.002,1997,economics
PUBLIC CHOICE,0.007,1997,economics
AM J AGR ECON,0.012,1997,economics
J ECON MANAGE STRAT,0.001,1997,economics
CAN J ECON,0.006,1997,economics
J ECON EDUC,0.003,1997,economics
REV INCOME WEALTH,0.002,1997,economics
INT REV LAW ECON,0.001,1997,economics
J JPN INT ECON,0.001,1997,economics
J AGR RESOUR ECON,0.002,1997,economics
ECON LETT,0.014,1997,economics
AUST J AGR ECON,0.001,1997,economics
SOUTHERN ECON J,0.005,1997,economics
J INST THEOR ECON,0.003,1997,economics
ECON REC,0.002,1997,economics
J REAL ESTATE FINANC,0.002,1997,economics
J WORLD TRADE,0.002,1997,economics
ENERG ECON,0.002,1997,economics
WELTWIRTSCH ARCH,0.002,1997,economics
SCOT J POLIT ECON,0.002,1997,economics
RESOUR ENERGY ECON,0.001,1997,economics
GENEVA PAP RISK INS,0.001,1997,economics
EUR REV AGRIC ECON,0.001,1997,economics
